Timestamp,Consent Notice,Rasa: Was the bot able to complete the task of finding the desired restaurant,Rasa: Q1,Rasa: Q2,Rasa: Q3,Rasa: Q4,Rasa: Q5,Rasa: Q6,DeepPavlov: Was the bot able to complete the task of finding the desired restaurant,DeepPavlov: Q1,DeepPavlov: Q2,DeepPavlov: Q3,DeepPavlov: Q4,DeepPavlov: Q5,DeepPavlov: Q6,DialogFlow: Was the bot able to complete the task of finding the desired restaurant,DialogFlow: Q1,DialogFlow: Q2,DialogFlow: Q3,DialogFlow: Q4,DialogFlow: Q5,DialogFlow: Q6,Select the bots that you would use again,Rate the bots in order of usability (1 is the most usable) [Rasa Bot],Rate the bots in order of usability (1 is the most usable) [DeepPavlov Bot],Rate the bots in order of usability (1 is the most usable) [DialogFlow Bot],"Do you feel a difference between the bots? (If yes, please state why)",If there is any other information you wish to discuss regarding any of the bots please feel free to write it here ,Gender,Age,Prior Experience
3/5/2021 10:38:21,I consent to my information being used in this project and any further research that stems from it.,Yes,2,2,3,3,1,2,"It did find a restaurant, but not the one I wanted",1,1,3,2,2,1,Yes,2,2,4,2,2,2,"Rasa Bot, DialogFlow Bot",2,1,2,DeepPavlov put the query results in the end and I did not like that :(  ,N/A,Female,21,3
3/5/2021 11:25:16,I consent to my information being used in this project and any further research that stems from it.,No,2,2,4,3,1,2,No,3,3,4,3,2,3,Yes,4,4,4,4,2,3,DialogFlow Bot,3,2,1,Yes. The way they responded was different. ,Dialogflow was more usable because it filtered info at different stages and was more likely to provide me with the info I wanted. But the other ones were kinda dumb:)),Female,23,2
3/5/2021 12:08:32,I consent to my information being used in this project and any further research that stems from it.,Yes,3,2,4,3,1,4,Yes but the answer was given in a peculiar fashion,2,1,2,1,2,1,Yes,3,4,4,4,4,5,Rasa Bot,1,3,2,Deep Pavlov was more intuitive to use as it gave genuine coherent answers but rasa bot seemed to provide more information. ,If the DeepPavlov Bot gave more intuitive answers its potential would have been increased greatly.,Male,22,1
3/5/2021 12:15:58,I consent to my information being used in this project and any further research that stems from it.,Yes,4,4,4,3,2,2,Yes,4,4,4,3,3,3,No,2,2,2,2,1,2,Rasa Bot,1,2,3,"Yes, Rasa Bot provided the most comprehensive information.",,Male,21,3
3/5/2021 12:52:58,I consent to my information being used in this project and any further research that stems from it.,Yes,5,5,5,5,5,5,for some cuisines yes and for some no,4,5,5,3,5,2,Yes,5,5,3,5,5,5,Rasa Bot,1,3,2,There was a difference in how they responded and if they confirm the details I inputted or not.,,,,4
3/5/2021 16:48:22,I consent to my information being used in this project and any further research that stems from it.,No,2,2,3,1,4,2,No,3,2,3,1,2,1,No,3,2,3,3,2,4,DialogFlow Bot,3,2,1,"Yes, Each had a different way of responding. DFB changed when I changed inputs, DPB just sticked with the same restaurant but was able to give me a specific suggestion. RB just listed restaurants randomly.",,Male,20s,3
3/5/2021 18:58:25,I consent to my information being used in this project and any further research that stems from it.,Yes,5,5,4,5,4,5,No,1,4,3,4,4,5,Yes,5,5,5,5,5,5,DialogFlow Bot,2,3,1,"Yes, one was incapable of finding restaurants to begin with (DeepPavlov), the second was incorrectly suggesting restaurants regardless of the correct location (Rasa Bot) and the third was actually quite decent and I could not see flaws with using it so might use it in the future if a London version exists (DialogFlow Bot).",,Female,21,1
3/6/2021 14:31:14,I consent to my information being used in this project and any further research that stems from it.,Yes,5,5,5,4,3,4,"It found Nandos, but didn't tell me where it was, other details",3,3,2,3,2,3,Yes,5,5,4,3,3,4,"Rasa Bot, DialogFlow Bot",1,3,2,"Yes, I found Rasa Bot and DialogFlow Bot were easier to chat with and get the required responses. They were also much more informative than DeepPavlov, especially Rasa Bot which gave me about 10 options for cheap Italian food!","Both Rasa Bot and DialogFlow bot gave me answers for the questions I had, while DeepPavlov bot gave me an initial answer, but afterwards, seemed to get stuck.. Also, I did like that DialogFlow bot had a greeting at the start! ",Female,21,2
3/6/2021 15:45:07,I consent to my information being used in this project and any further research that stems from it.,Yes,3,5,5,4,2,4,No,3,2,2,1,2,4,"Provided a suitable alternative, but not the Wayscript one",5,5,4,5,3,4,"Rasa Bot, DialogFlow Bot",2,3,1,"The DeepPavlov implementation felt like a demo, whereas the Rasa and DialogFlow bots felt much more polished. Rasa was buggier, but DialogFlow overall felt like a prototype of a genuinely useful product.",I want this in London!!!!!!!!,Male,24,4
3/6/2021 15:55:03,I consent to my information being used in this project and any further research that stems from it.,Yes,5,5,5,2,3,4,Mostly,4,4,5,3,2,3,Mostly,3,3,3,2,2,1,Rasa Bot,1,3,2,"Yes, in the information given (eg. Rasa feels more like a search engine filtering aid than a bot and I find that useful especially for choosing restaurants).",N/A,Male,22,2
